[2026-03-17 20:24:47] 🚀🚀 2D 终极保守宇宙 (Grid=200 超高清抗锯齿·EPYC 防爆版) 启动 🚀🚀
[2026-03-17 20:24:47] 硬件自检：AMD EPYC 9754 并发严密封锁在 48 核，Numba 零拷贝结界已开启！
[2026-03-17 22:15:17] [Worker SUCCESS] eps=0.04821425428732879 | delta_a=0.001873161932975518 | MAE(100)=22.24339151018843 | 容量=189阶 | 耗时:2845.83s
[2026-03-17 22:16:05] [Worker SUCCESS] eps=0.04629920340306408 | delta_a=0.0023180513694379627 | MAE(100)=76.49715336186325 | 容量=189阶 | 耗时:2894.22s
[2026-03-17 22:16:16] [Worker SUCCESS] eps=0.0456206800349628 | delta_a=0.018493744032771448 | MAE(100)=100.21420767337797 | 容量=189阶 | 耗时:2905.05s
[2026-03-17 22:16:25] [Worker SUCCESS] eps=0.04569536570928283 | delta_a=0.00933093694549532 | MAE(100)=417.10468034439384 | 容量=190阶 | 耗时:2914.33s
[2026-03-17 22:16:26] [Worker SUCCESS] eps=0.04672967523650634 | delta_a=0.004888856701168337 | MAE(100)=304.9200115718839 | 容量=188阶 | 耗时:2915.20s
[2026-03-17 22:16:34] [Worker SUCCESS] eps=0.04752776795760572 | delta_a=0.004667343846458141 | MAE(100)=25.113547204639698 | 容量=188阶 | 耗时:2923.47s
[2026-03-17 22:16:48] [Worker SUCCESS] eps=0.04832339227768766 | delta_a=0.003529514187071624 | MAE(100)=9.46903722339352 | 容量=189阶 | 耗时:2937.45s
[2026-03-17 22:23:12] [Worker SUCCESS] eps=0.05013632306260478 | delta_a=0.010109688178761398 | MAE(100)=181.02463461258245 | 容量=191阶 | 耗时:3321.58s
[2026-03-17 22:23:20] [Worker SUCCESS] eps=0.050089079725676416 | delta_a=0.01376815968221351 | MAE(100)=50.75313473067655 | 容量=191阶 | 耗时:3329.67s
[2026-03-17 22:24:42] [Worker SUCCESS] eps=0.05084139046592425 | delta_a=0.014111967267002385 | MAE(100)=66.91464182247236 | 容量=191阶 | 耗时:3411.59s
[2026-03-17 22:25:36] [Worker SUCCESS] eps=0.05031792938939673 | delta_a=0.01037082586519411 | MAE(100)=43.01501172956685 | 容量=190阶 | 耗时:3465.73s
[2026-03-17 22:26:10] [Worker SUCCESS] eps=0.051372765034897024 | delta_a=0.0015189623588517127 | MAE(100)=11.821714956478331 | 容量=191阶 | 耗时:3499.76s
[2026-03-17 22:30:27] [Worker SUCCESS] eps=0.05121688172491499 | delta_a=0.004293478356518171 | MAE(100)=9.230912320271612 | 容量=189阶 | 耗时:3755.92s
[2026-03-17 23:09:30] [Worker SUCCESS] eps=0.04203603702193262 | delta_a=0.013047387212250162 | MAE(100)=259.3047474748839 | 容量=194阶 | 耗时:2343.48s
[2026-03-17 23:10:01] [Worker SUCCESS] eps=0.04417834815184336 | delta_a=0.015537213218358686 | MAE(100)=965.0496489391993 | 容量=193阶 | 耗时:2374.61s
[2026-03-17 23:10:05] [Worker SUCCESS] eps=0.04335178272510588 | delta_a=0.01613339405906119 | MAE(100)=317.04987740980334 | 容量=192阶 | 耗时:2378.81s
[2026-03-17 23:11:27] [Worker SUCCESS] eps=0.04574797581037142 | delta_a=0.013011041978113357 | MAE(100)=1384.470973941868 | 容量=193阶 | 耗时:2460.05s
[2026-03-17 23:11:28] [Worker SUCCESS] eps=0.04512996850725075 | delta_a=0.012835980639990668 | MAE(100)=32.2206746921186 | 容量=191阶 | 耗时:2461.62s
[2026-03-17 23:11:29] [Worker SUCCESS] eps=0.047166758922958574 | delta_a=0.01194064492941177 | MAE(100)=380.3701536579192 | 容量=192阶 | 耗时:2462.71s
[2026-03-17 23:11:31] [Worker SUCCESS] eps=0.04515687331193891 | delta_a=0.015817643531815924 | MAE(100)=110.08532992350905 | 容量=191阶 | 耗时:2464.70s
[2026-03-17 23:11:45] [Worker SUCCESS] eps=0.046500149663174214 | delta_a=0.007083246513028828 | MAE(100)=54.24302735696636 | 容量=191阶 | 耗时:2478.44s
[2026-03-17 23:11:46] [Worker SUCCESS] eps=0.04614479040454716 | delta_a=0.003175002241426146 | MAE(100)=463.8020563967181 | 容量=191阶 | 耗时:2479.43s
[2026-03-17 23:11:50] [Worker SUCCESS] eps=0.046135142047509355 | delta_a=0.018393693395011547 | MAE(100)=12.657860518391757 | 容量=192阶 | 耗时:2482.87s
[2026-03-17 23:11:51] [Worker SUCCESS] eps=0.04444564681817275 | delta_a=0.0035060781595572243 | MAE(100)=53.35123145795154 | 容量=192阶 | 耗时:2484.01s
[2026-03-17 23:12:02] [Worker SUCCESS] eps=0.04686114827177134 | delta_a=0.007734653181730772 | MAE(100)=241.24329708195145 | 容量=191阶 | 耗时:2494.90s
[2026-03-17 23:12:04] [Worker SUCCESS] eps=0.04899684137789247 | delta_a=0.01998947039768701 | MAE(100)=345.3576883437812 | 容量=193阶 | 耗时:2497.31s
[2026-03-17 23:12:22] [Worker SUCCESS] eps=0.0479267888083514 | delta_a=0.010026867908531866 | MAE(100)=39.13170323988497 | 容量=194阶 | 耗时:2515.20s
[2026-03-17 23:12:26] [Worker SUCCESS] eps=0.048300818930029035 | delta_a=0.010742097847233826 | MAE(100)=36.15406068068428 | 容量=190阶 | 耗时:2518.92s
[2026-03-17 23:12:28] [Worker SUCCESS] eps=0.047892151739891926 | delta_a=0.01194402603944899 | MAE(100)=409.4305486898039 | 容量=192阶 | 耗时:2521.40s
[2026-03-17 23:12:36] [Worker SUCCESS] eps=0.049622541559458284 | delta_a=0.004244909687471538 | MAE(100)=73.52939751336417 | 容量=193阶 | 耗时:2529.21s
[2026-03-17 23:12:41] [Worker SUCCESS] eps=0.04978322435396061 | delta_a=0.018657609399851068 | MAE(100)=345.5484442790273 | 容量=192阶 | 耗时:2534.56s
[2026-03-17 23:12:42] [Worker SUCCESS] eps=0.04808153279891756 | delta_a=0.014043605387527566 | MAE(100)=22.685060673260246 | 容量=192阶 | 耗时:2535.83s
[2026-03-17 23:12:44] [Worker SUCCESS] eps=0.043994433527693624 | delta_a=0.01468963621735283 | MAE(100)=1249.7236657288208 | 容量=192阶 | 耗时:2536.86s
[2026-03-17 23:13:01] [Worker SUCCESS] eps=0.043926304485299696 | delta_a=0.01914126987882032 | MAE(100)=82.7584080972062 | 容量=190阶 | 耗时:2554.77s
